Precipitation,Flow Rate,Water Level
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Heavy Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Heavy Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Medium
Dry,Slow,Medium
Dry,Slow,Medium
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Heavy Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Heavy Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Heavy Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Heavy Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Light Rainfall,Fast,High
Heavy Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Light Rainfall,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Fast,High
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Light Rainfall,Slow,Low
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,High
Dry,Fast,High
Light Rainfall,Steady,Medium
Dry,Fast,High
Dry,Fast,High
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Steady,Medium
Heavy Rainfall,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Steady,Medium
Light Rainfall,Slow,Low
Heavy Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Light Rainfall,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Slow,Low
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Heavy Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Dry,Steady,Medium
Light Rainfall,Steady,Medium
